GEONAME,American Indian or Alaska Native Alone,American Indian or Alaska Native and Black or African American,American Indian or Alaska Native and White,Asian Alone,Asian and White,Black or African American Alone,Black or African American and White,Hispanic or Latino,Native Hawaiian or Other Pacific Islander Alone,Not Hispanic or Latino,Remainder of Two or More Race Responses,Total,White Alone,Error,state_custom_total,American_Indian_or_Alaska_Native_Alone_percentage,American_Indian_or_Alaska_Native_and_Black_or_African_American_percentage,American_Indian_or_Alaska_Native_and_White_percentage,Asian_Alone_percentage,Asian_and_White_percentage,Black_or_African_American_Alone_percentage,Black_or_African_American_and_White_percentage,Hispanic_or_Latino_percentage,Native_Hawaiian_or_Other_Pacific_Islander_Alone_percentage,Remainder_of_Two_or_More_Race_Responses_percentage,White_Alone_percentage
Iowa,6830,995,7295,54265,4920,70685,7700,107065,1670,2282335,2165,2389400,2125805,0.1255818175204455,2389395,0.002858464171892885,0.00041642340425086685,0.0030530741045327373,0.022710769881078684,0.0020590986421248894,0.029582802341178417,0.0032225730781222863,0.04480841384534579,0.0006989216935667815,0.0009060871057317857,0.8896833717321749
Kansas,14930,1995,18810,62700,6100,121130,8985,204505,1410,1981040,4310,2185545,1740660,0.12180584018977475,2185535,0.006831279297746318,0.0009128199731415878,0.008606588318192113,0.028688627727307042,0.0027910786146183885,0.05542350042438122,0.004111121533171512,0.0935720544397596,0.0006451509584609718,0.0019720571850828286,0.7964457215281384
Kentucky,6635,1790,14335,44420,6305,260775,12855,93135,1445,3318650,4310,3411785,2965780,0.06960491620844456,3411785,0.0019447298115209486,0.0005246520516386583,0.004201612938681658,0.013019577728373857,0.0018480062489283468,0.07643359707601739,0.00376782241553908,0.027298027278975668,0.00042353196347366554,0.001263268347800345,0.8692751741390504
Louisiana,19190,3270,13020,63800,5295,1084310,9755,161845,865,3388885,5265,3550730,2184120,0.00014650778762331784,3550735,0.005404514839885263,0.0009209360878803966,0.0036668464416522214,0.017968110827758198,0.001491240545971468,0.3053762108408541,0.0027473185129276052,0.04558070371345651,0.00024361153395001316,0.0014827915910367853,0.6151177150646274
Maine,5920,250,8510,11590,2540,10195,1890,13700,175,1059630,1080,1073330,1017480,0.06414255335136271,1073330,0.005515545079332544,0.00023291997801235407,0.007928596051540534,0.010798170180652735,0.0023664669766055176,0.009498476703343799,0.001760875033773397,0.012764014795077003,0.00016304398460864785,0.0010062143050133697,0.9479656769120401
Maryland,9725,8745,11775,297325,19095,1345295,20445,383715,2005,4264750,16540,4648465,2533785,0.0799102304425009,4648450,0.0020920952145338768,0.0018812722520410029,0.0025331024319934603,0.06396218094203444,0.00410782088653207,0.2894072217620927,0.0043982402736396,0.08254687046219708,0.00043132657122266563,0.003558175305747077,0.545081693897966
Massachusetts,7155,3800,14120,342930,19855,353355,21245,520630,1800,4885160,9385,5405785,4111515,0.07975409454852367,5405790,0.001323580827224143,0.0007029499851085595,0.002612014155192858,0.06343753641928376,0.0036729136721922236,0.06536602420737765,0.003930045377271407,0.09630969756501825,0.0003329763087356335,0.0017361014763799555,0.7605761600062155
Michigan,34660,10355,42155,225080,21270,1015940,32880,305640,1920,7411405,14860,7717045,6012285,0.037764296073527936,7717045,0.0044913564712917966,0.0013418348603642975,0.005462583151970735,0.02916660457467852,0.0027562363573103437,0.13164883708725295,0.004260698233585524,0.0396058335800815,0.00024879989685170945,0.0019256075350085429,0.7790916082516041
Minnesota,36685,2230,21205,184070,13325,211495,17710,173215,1340,4031170,7535,4204390,3535575,0.10994879403692998,4204385,0.008725414061747438,0.0005303986195365077,0.00504354382388863,0.04378048156864797,0.0031693101369165764,0.050303433201288654,0.004212268857395314,0.04119865331076959,0.00031871486555108534,0.0017921765014383792,0.8409256050528199
Mississippi,8920,1255,4910,22840,2545,810585,3720,57170,525,2202750,2125,2259920,1345320,0.006282288466122499,2259915,0.003947051105904426,0.0005553306208419343,0.002172648086321831,0.010106574804804605,0.001126148549834839,0.3586794193586927,0.0016460796091888412,0.025297411628313456,0.0002323096222645542,0.0009403008520231955,0.5952967257618096
