,times,votes_timeline,dates
177,1475985600.0,313,2016-10-09
178,1476072000.0,313,2016-10-10
179,1476158400.0,313,2016-10-11
180,1476244800.0,329,2016-10-12
181,1476331200.0,322,2016-10-13
182,1476417600.0,342,2016-10-14
183,1476504000.0,320,2016-10-15
184,1476590400.0,342,2016-10-16
185,1476676800.0,342,2016-10-17
186,1476763200.0,342,2016-10-18
187,1476849600.0,348,2016-10-19
188,1476936000.0,342,2016-10-20
189,1477022400.0,342,2016-10-21
190,1477108800.0,342,2016-10-22
191,1477195200.0,342,2016-10-23
192,1477281600.0,331,2016-10-24
193,1477368000.0,315,2016-10-25
194,1477454400.0,331,2016-10-26
195,1477540800.0,319,2016-10-27
196,1477627200.0,319,2016-10-28
197,1477713600.0,289,2016-10-29
198,1477800000.0,289,2016-10-30
199,1477886400.0,284,2016-10-31
200,1477972800.0,279,2016-11-01
201,1478059200.0,279,2016-11-02
202,1478145600.0,258,2016-11-03
203,1478232000.0,273,2016-11-04
204,1478318400.0,279,2016-11-05
205,1478404800.0,292,2016-11-06
206,1478494800.0,282,2016-11-07
